name,desc,keywords
"Initiate Systems","Provider of master data management software services for organizations. The company offers customer data integration and enterprise master person index software to financial service providers, information exchange, hospitality, manufacturing and retail industries.","""data management"" ""financial service"" ""healthcare provider"" ""retail industry"" ""delivery network"""
"Cortex Vision Systems","Provider of automated video surveillance products. The company offers various security systems for industrial, commercial, governmental and high-end residential applications.","surveillance ""smart camera"" ""security systems"""
"MobileDevHQ","Provider of a search engine and discovery platform for mobile applications and developers. The company offers a directory of mobile application developers, including their current portfolio of published applications and the category(ies) of projects they specialize in.","""discovery platform"" ""application store optimization"" ""competitive intelligence"""
"GB Environmental","Manufacturer of UV air and water treatment equipment.","""water treatment equipment"" ""UV air monitoring equipment"" ""water cleansing equipment"""
"PartMiner Worldwide (CAPS Business)","Supplier of electronic components for the electronics industry.","""electronic component"" ""electronic tool"" ""electronic component database"" ""equipment manufacturer"""
"MEAC","Provider of microwave energy applications for industrial use. The company provides microwave technology powered industrial installations for applications in the food industry and wood, glass and plastic processing industries.","""microwave energy"" ""industrial installations"" ""microwave technology"""
"Align Technology","Manufacturer of invisalign system for treating malocclusion or the misalignment of teeth. The company’s products include Invisalign Full for the treatment of a range of malocclusions. It corrects malocclusion using a series of clear, nearly invisible, removable appliances that gently move teeth to a desired final position.","""invisalign system"" malocclusion ""misalignment of teeth"""
"My turkmedya","Operator of a local news and social sharing platform. The company serves 81 provinces, 1,518 towns, 36,000 villages, 16,000 neighborhoods, 50,000 primary schools, 7,250 high schools and 150 universities in Turkey.","""local news"" ""social sharing platform"" ""social platform"""
"GrandCentral","Provider of phone management services. The company developed a service that allows users to use one phone number for all of their phones.","""online service"" ""online search service"""
"cervision","Provider of software tools for the insurance and financial service industries. The company offers QTaS, that supports on-site and on-line sales and also helps clients to analyse, request quote, acquisition and application testing. It supports insurance and financial service industries in the process of implementation and integration of new insurance products.","Quotation tariff ""financial service"""
"Genosis","Developer of home use diagnostic devices to assess fertility in couples of childbearing age. The company\'s product- Fertell, is available over the counter in the UK and the US and provides couples with the tools required to assess their fertility in the privacy of their homes.","""Fertility test"" ""vitro diagnostic"" ""reproductive disorder"""
"Citrus Lane","Provider of an online subscription service for baby and children\'s products. The company provides a monthly package of products, including toys and product samples, for parents to share with their children. The service also provides a brand-recognition channel for manufacturers of products included in the packages.","""electronic commerce"" ""baby product"" ""baby care"""
"Synapse Group","Provider of proprietary customer acquisition and management services for publishers of consumer magazines. The company provides services to publishers in driving magazine circulation and increasing the value of magazine customer relationships.","""consumer magazine"" ""customer acquisition"" ""affinity marketing"""
"FanHero","Creator and seller of branded merchandise for online celebrities with a fan base. The company provides a platform for the users to sell their merchandise to their fans.","""branded merchandise"" ""custom merchandise"""
"STAPLA Ultraschall-Technik","Manufacturer of ultrasonic metal welding products worldwide. The company offers products, engineering and support services to industry segments including automotive, appliance (large, small and HVAC), battery (Lithium Ion and others), other electrical segments, solar and others.","""metal welding"" ""support service"" ""electrical segments"" ultrasonic battery solar"
"GirlGamer","Provider of a social network and video game lifestyle platform for female gamers. The company features news, reviews, profiles, forums and more, focused on creating a  space for both gamers and the industry.","""social network"" ""online gaming platform"""
"Solarant Medical","Developer of minimally invasive therapies for women who suffer from stress urinary incontinence. The company\'s technology include radio frequency bladder neck suspension, an innovative treatment for female urinary incontinence.","""urinary incontinence"" ""therapeutic device"""
"Amira Medical","Manufacturer of medical testing devices. The company\'s equipment is designed to facilitate testing of blood glucose levels for people with diabetes.","""medical testing"" ""blood glucose"" diabetes"
"IntenseDebate","Developer of commenting systems for blogs and other web platforms. The company offers networking system to blog readers to link their profiles, make friends and syndicate their comments.","""commenting system"" ""web platform"" ""networking system"""
"Fintura","Operator of a portfolio management company. The company\'s services include leading-edge product development, new account origination, agent issuing and portfolio management.","""portfolio management"" ""home equity"" ""student loans"""
"Boxer Cross","Provider of metrology tools for the semiconductor industry. The company develops and manufactures fully automated metrology systems, providing in-line monitoring of parameters affecting the electrical performance.","""metrology system"" ""monitoring system"" ""electrical measurement data"""
"Falcon Detection Technologies","Provider of housewares equipments. The company manufactures electric housewares and household fans.","""houseware equipment"" ""electrical equipment"" ""household fan"""
"LiL\' Things","Provider of children specialty retail chain. The company provides retail store services for infant\'s and children\'s toys, apparel, furniture, and accessories.","""children retail"" ""specialty retail"" ""retail store"" ""retail services"""
"Xtellus","Developer of  passive optical components using liquid crystal technology. The company combines manufacturing liquid crystal and fiberoptic technologies to create components and modules for reconfigurable optical networks.","""optical component"" ""fiberoptic technology"" ""liquid crystal technology"" wavelength"
"NoiseToys","Developer of mobile games. The company offers music games and applications for iPhone, facebook and android platforms.","""music game"" ""iphone application"" ""facebook application"" ""android application"""
"Enigma Semiconductor","Operator of a semiconductor company. The company provides semiconductors for switching systems for network and storage. It also provides line card and backplane systems up to 6.25G link speed and up to 1x40G line card speeds.","""chassis equipment"" ""crossbar switches"" ""fabric managers"" chipset"
"NextWave Telecom","Provider of high-speed wireless internet access and voice communications services to consumers and business markets. The company provides wireless and wireline telecommunications services, namely, the electronic transmission of voice, facsimile, data, images and informations.","""broadband wireless"" ""communications services"" ""electronic transmission"" ""wireless internet"" ""voice communications"""
"Enermetrix","Provider of real- time transaction - processing environment in which utilities, traders and marketers, service companies, commercial and industrial users buy and sell energy. The company provide internet commerce system that allows energy consumers, energy suppliers and utilities to share information.","""online energy trading"" ""energy markets"" ""energy sellers"" ""energy buyers"" ""energy software solutions"""
"Meridian Data","Developer of CD ROM publishing tools. The company provides network software and servers for storing and accessing CD ROM information.","""network software"" ""CD ROM publishing tools"" ""CD management tools"""
"QueryObject Systems","Developer and provider of business intelligence software solutions that enable business managers to make strategic decisions, leveraging existing corporate data. The company delivers its products to a variety of industries, including telecommunications, healthcare, and financial services.","datamarts economy digital"
"Selectable Media","Provider of a experience, resources and service to help brands connect with engaged audiences. The company\'s technology enables its users to reach their exact audience with video commercials in a new media environment.","""connecting platform"" ""online media"" ""video inventory"""
"V-bits","Provider of standards-based digital video processing systems for cable television service providers. The company develops video multiplex/demultiplex products for operators and service providers within the cable, satellite and broadcasting industries. The company\'s core technologies include real-time rate processing and manipulation of compressed digital video signals.","multiplexer ""digital video"" demultiplex ""digital video signals"" ""Digital Signal Processing"" DSP"
"AMSCO Scientific","Developer of scientific capital equipment. The company specializes in industrial and laboratory sterilizers, laboratory glassware and animal care washing equipment, absolute barrier isolators and sterility assurance products and supplies.","""medical equipment"" ""barrier isolator"" ""pharmaceutical production"""
"Eons.com","Operator of an online community enabling people to stay in touch with friends.","""social networking"" ""baby boomer marketing"" ""online dating"" ""ad network"""
"Pictoris Interactive","Provider of internet marketing services. The company offers interactive agency services with clients including Accor, Groupe Danone and Lotus.","""internet marketing"" ""Management consulting"" intranets"
"OxEpi","Developer of new therapies for oncology and metabolic disease. The company uses a medicinal chemistry approach for the discovery and development of new antagonists of a major new class of enzymatic targets involved in epigenetic regulation.","epigenetics ""genetic code"" mutations"
"Penederm","Developer of products for the treatment of dermatologic disorders based on its topical delivery technology. The company\'s products are Mentax cream for the treatment of fungal infections of the skin such as athlete\'s foot, ringworm and groin fungus and Avita cream for the treatment of acne.","""dermatologic disorders"" Mentax ""fungal infections"" ringworm ""anti fungus cream"" acne"
"Omnia Communications","Manufacturer of integrated voice and data access multiplexers. The company transport solutions to deliver data efficiently over fiber optic networks.","""access multiplexers"" ""integrated voice"" ""fiber optic"" network"
"Profig","Provider of phone system for business. The company provides call tracking, voice broadcasting, sales call centers, CRM integration all in a single dashboard. It also provides analytics on all calls and data.","""phone system"" ""call tracking"" ""voice broadcasting"" ""sales call center"" ""CRM integration"" ""call analysis"""
"Relevance Technologies","Provider of enterprise content management software. The company offers decision support solutions and also provides workers with answers.","intelligence decision ""information resources"""
"Charisela Technologies","Developer of assays for flow cytometers. The company engages in research and development of assays that allows users to to run high concentration samples within an hour.","""flow cytometers"" ""high concentration samples"" assays"
"Cake Financial","Provider of a social investment service that lets people safely and securely track all their investment portfolios in one place. The company allows individual investors to track and analyze their historical performance up to ten years.","""investment portfolio"" ""track investment"" ""social investment service"" ""financial service"""
"Webdialogs","Provider of voice and web conferencing solutions. The company provides facilities for organizing  online meetings. The company facilitates voice, video and Web conferencing, data collaboration, and Web callback solutions.","""video conferencing"""
"Reactive NanoTechnologies","Developer of products to control the instantaneous release of heat energy for advanced joining applications. The company also provides process for bonding components to bond sputter targets and in electronics assembly applications.","""control heat"" ""electronics assembly"" ""bonding component"" ""bond sputter target"" ""commercial products"""
"Wix.com","Provider of a cloud-based web development platform. The company offers cloud-based templates for designing websites, without any coding knowledge required.","""website building"" ""web publishing platform"" ""personalized website"" ""customized website"" ""website template"" ""website design"""
"Smartclip Holding","Provider of a network platform that enables advertisers and agencies to expand their TV campaigns to the Internet. The company delivers video advertising across various platforms, such as mobile devices, TV screens and computers. It provides various tools that enable advertisers to reach, engage and persuade their audience.","""network platform"" ""online video advertising"" ""advertising network"""
"Rock The Post","Provider of an investment crowd funding site for startups. The company has the primary goal of creating a tool and meeting ground for like minded individuals to connect with each other in order to pursue and develop all types of projects and business ideas.","""business social network"" ""social network"" ""business idea"""
"RQx Pharmaceuticals","Developer of broad spectrum small molecule antibiotics. The company\'s antibiotics are developed for life threatening infections, including those caused by multi drug-resistant Gram-negative bacteria.","""antibiotic developer"" ""drug resistant infection"" ""broad spectrum antibiotic"" ""molecule antibiotics"" ""life threatening infections"" ""healthcare industry"""
"JGame","Operator of an online gaming site. The company engages in providing online game services in Japan.","""online gaming"" ""gaming site"" ""entertainment services"""
"TopSchool","Provider of simplified ways in which colleges manage and report student information. The company built the first SaaS student administrative system in higher education to address key aspects of the student lifecycle, including recruitment, retention and career services.","""administrative technology"" ""lifecycle management system"" ""information management solution"" ""customizable student portal"" ""customizable faculty portal"" ""information system"" ""educational lifecycle"" ""College Student Information System"""
"Scerene Healthcare","Provider of personal care and body care products. The company provides a range of personal hygiene and care products for women.","""tampons and sanitary napkins"" ""anti-aging cream"" ""body lotion"""
"TruSecure","Provider of Internet security software. The company provides intelligent risk management and compliance products and services to improve security and reduce risk.",""
"MyCube","Operator of a social network that allows individuals and organizations to store and share their information, updates and content with others. The company offers organization, publishing, communication and management tools for all individual brands and content producers that let users own and protect their digital assets, thereby transferring control to the user allowing the content to be monetized.","""management tool"" ""share content"" ""content producers"""
"ZeitNet","Provider of high-quality, low-cost solutions for connecting workgroups and servers to high-performance ATM networks. The company brings a line of software products, including its Z-ATM Stack software, that allows ATM-connected clients to communicate over both ATM networks and existing LANs. The software, interoperable with other ATM products, consists of ATM Forum- compliant software modules for Internet Protocol (IP) over ATM, LAN Emulation (LANE), Interim Local Management Interface (ILMI), Signaling and ATM Adaptation Layer (AAL).","""vital link"" ""ATM adapter"" ""circuit boards"" switches ""traffic accounting"""
"GamerDNA","Operator of an online gaming web site. The company\'s website enables to publish gaming accomplishments, connect with other players, reunite with old friends, and find players based on servers, as well as share favorite news, videos, and trailers.","""online game"" ""game network"" ""game social networking"""
"IOmet Pharma","Developer of drugs in the preclinical area of the drug discovery process. The company focuses on the development of innovative medicines for the treatment of cancer, with particular emphasis on the fields of cancer immunotherapy and cancer metabolism.","""drug discovery"" ""nervous system disorder"" ""oncology therapeutic"""
"In.Sites Media","Developer of a social powered small businesses marketing and networking platform. The company helps small businesses and individuals to increase exposure and traffic volume by transforming their standalone websites into business pages at social networking sites, where traffic is constant.","""networking platform"" ""businesses marketing"" ""traffic volume """
"e2e (ecommerce)","Provider of e-commerce platform. The company provides e-commerce service for logistics, marketing and technology.","""electronic commerce"" ""online shopping"" plataforma"
"Distill","Creator of a browser-based recruiting platform. The company provides a suite of products that enables collaborative, browser-based video interviews as well as tools for scheduling, taking and sharing notes and posting ability assessments.","""recruiting platform"" ""video interview"" ""collaborative software"""
"BMDSys Production","Developer of cardiac diagnostic imaging systems. The company uses magnetic field imaging system in medical diagnosis. It also helps to identify persons with a risk for sudden cardiac problem by cardiac electrophysiology.","""cardiac diagnostic imaging"" ""cardiac electrophysiology"" ""medical diagnosis"" ""cardiac diagnosis"" cardiac"
"WizBill","Provider of an expert system for the telecommunication industry. The company offers a platform for billing and addresses issues such as customer acquisition, customer retention and pricing optimization leading to improved customer satisfaction.","""saving advisory"" ""customer acquisition"" ""pricing optimization"""
"Presens","Developer of pressure-sensor devices. The company develops temperature and flow-measurement products for the aerospace, automotive and subsea oil and gas industries. The products are designed for high-pressure measurements and severe environments.","sensors ""pressure sensor services"" ""temperature measurement"" ""monitoring and control systems"""
"Micropolis","Manufacturer of high capacity/performance disk drives. The company provides high capacity mini floppy disk drives and 8"" Winchester drives.","""disk drives"""
"Serrot International","Provider of plastic linings fabricator which serves the metals refining, plating and water/waste water treatment industries. The company provides liner that prevent the flow of leachate off the site and control the migration of methane from the landfill.","waste water treatment fabricator methane"
"GeneOhm Sciences","Developer of nucleic acid-based diagnostic services. The company offers methicillin-resistant Staphylococcus aureus (MRSA) Assay, an in vitro diagnostic test for the direct detection of MRSA from a nasal specimen; StrepB Assay, an in vitro diagnostic test for the detection of Group B Streptococcus in pregnant women at the time of delivery or at any other stage of their pregnancy and Lysis Kit for the lysis of cells and spores from various sample types.","""microbiology specimen processing"" ""molecular diagnostic"" ""MRSA Assay"""
"Qubulus","Provider of platform for indoor positioning systems. The company provides a positioning platform for smartphones where GPS doesn\'t work. The company serves airports, malls, retail chains, property owners, and developers.","""indoor positioning system""  ""positioning platform""   navigation"
"Zaprica","Operator of a user experience design company. The company defines and strategizes user experiences for early start ups, mid-sized mature companies and fortune 500 companies.","""software publisher"" ""software developer"" ""user experience"""
"AppFolio","Provider of software-as-a-service products for small and mid-sized businesses. The company provides business accounting and property management software designed for residential property management.","""property manager"" ""business accounting"" ""property management"" ""residential property"""
"ShareBloc","Provider of an online enterprise vendor comparison platform. The company provides enterprise consumers with an online platform to rate, review, ask and answer questions about their vendors. It also works closely with the vendor community to reach their customers.","""vendor comparison platform"" ""vendor rating"" ""online portal"""
"XLight Photonics","Manufacturer of tunable transponders. The company develops and commercializes next-generation optical switching fabrics for multi-terabit routers.","""scalable solution"" ""network congestion"" ""information technology"""
"AudioFeast","Provider of MP3 players with a web-based broadcast network of digital audio programming. The company provides software that allows users to browse through different channels.","""radio channels"" ""audio content"" ""MP3 players"" ""digital audio programming"" audio ""broadcast network"""
"Pages Software","Provider of web development technologies. The company\'s technology is used in corporate brochure Web sites, online commercial applications, website launching and submission of search engines.","""web development"" ""website hosting"" ""search engine"""
"Visiometrics","Developer and manufacturer of medical instruments. The company develops and manufactures instruments to measure, diagnose and study of the visual capacities.","""medical instrument"" ""visual capacity"" diagnose"
"EndoTex Interventional Systems","Developer of interventional vascular therapeutic solutions. The company focuses on developing less invasive solution to treat carotid artery disease.","""vascular therapy"" ""carotid artery treatment"""
"Wine Preserva","Developer of device to preserve the quality of wine. The company offers Wine Shield, an in-bottle floating lid that is a barrier to oxidation. The product is designed for consumers who open bottles but don\'t consume the contents immediately, and for restaurants and bars that sell bottled wine by the glass.","preservation wine"
"Ester Neurosciences","Developer of therapeutic products for the treatment of neurological disorders. The company provides novel therapeutic products for the treatment of neurological disorders such as myasthenia gravis, alzheimer disease, multiple sclerosis and acute stress reactions.","""therapeutic product"" ""neurological disorder"" ""disease treatment"""
"TapCommerce","Provider of mobile-retargeting services. The company provides a software platform to help brands engage and convert their mobile audiences, to increase customer-lifetime value.","""mobile shopping application"" ""mobile marketing"" ""mobile commerce"""
"Synaptic Systems","Provider of software services for financial advisers. The company provides detailed information across the total marketplace of financial products. It\'s fund clarity enables users to research and select products on internet.","""financial advisers"" ""financial services"" ""Product Manager"" ""software solution"" ""fund clarity"""
"Seaside Software","Designer and manufacturer of corporate messaging and intranet applications for the corporate market. The company offers integrated software and hardware products.","""enterprise applications"" ""corporate messaging applications"" ""platform software"""
"Botnia Exploration","Miner of rare minerals. The company is aggressive in its exploration and prospecting of new projects and potential mining targets with a strong focus on gold, which is most in demand in the company\'s main market Sweden. The company finances all of its development projects with partnerships.","""gold mine"", ""diamond mine"", ""rare minerals"""
"Reciprocal","Provider of digital rights management and digital commerce services. The company offers end-to-end e-commerce services for digital content distribution over the internet and also digital rights management services for all types of content, including digital music, text, video and software.","""digital rights"" ""digital rights management"" ""digital commerce"" ""digital content distribution"""
"BioRelix","Developer of anti-infective drug treatments. The company is focused on building a portfolio of anti-infective products based on novel patented RNA targets, termed riboswitches. The company is developing its products to counter increasingly antibiotic-resistant bacterial pathogens.","""anti-biotic drug"" ""infectious disease"" ""therapeutic agent"" ""bacterial infection"""
"Equitalk","Provider of low cost, paperless, telephone service. The company\'s processes are automated, the customers are e-mailed their bill and they can pay by direct debit. The company offers IDA and CPS voice services, broadband and teleconferencing.","paperless ""telephone service"" bill"
"Third Millennium Healthcare Systems","Provider of revenue cycle management software. The company provides automate rejected or denied claims management, document imaging, claims tracking, workflow, document management, reporting and secondary claims processing.","""revenue cycle management"" ""denied claim"" ""document imaging"" ""Productivity Software"""
"Bio Architecture Lab","Developer of a technology that enables the production of ethanol from kelp sugars. The company develops an application of synthetic biology and enzyme design for the development of biofuels and renewable chemicals from aqua farmed native macro algae.","""ethanol production"" ""synthetic biology"" ""enzyme design"" biofuel ""renewable chemical"" ""native macro algae"""
"theAudience","Provider of social media distribution platform. The company provides content for Twitter, Facebook and other social media outlets that helps brands to connect with online influencers and customers for targeted marketing campaigns.","""marketing and advertisement"" ""online marketing campaign"" ""digital marketing platform"""
"Signature Genomic Laboratories","Provider of molecular cytogenetic diagnostic services. The company offers diagnostic services, including pediatric and adult testing, and prenatal services, as well as FISH analysis of clinically relevant loci. The company also provides prenatal diagnosis services, interpretation with genome microarrays, and G-banded karyotype analysis services.","""diagnostic service"" ""cytogenetic diagnostic service"" ""adult testing"" ""pediatric testing"" ""prenatal service"" ""prenatal diagnosis"" ""genome microarray"""
"1747","Provider of web enabled systems to conduct clinical trials directly with participants. The company\'s product aims to clarify participant’s eligibility, aggregates their informed consent, and enrolls them for clinical trials using the internet.","""clinical trial"" ""web enabled system"" ""direct-to-participant"" ""enrolment systems"""
"Dynamic Payment Ventures","Provider of payment processing services.","""payment"" ""processing services"""
"LocoMobi","Provider of software and hardware for security services. The company provides software and hardware for the parking, security and the transportation markets.","""security service"" ""transportation market"" ""security software"""
"Aux Interactive","Provider of interactive agency through social media marketing and surrounding technologies. The company focuses on delivering metrics driven consumer and enterprise engagement through social media marketing and surrounding technologies. the company engages its customers at a level by building scalable applications that integrate into the social technology platforms like Facebook, iPhone, MySpace, LinkedIn, and Twitter.","""social content"" ""interactive agency"" ""online discussion board"""
"Enterupt","Operator of an online platform for advertisement. The company\'s faceified service enables sellers, service providers and agents to generate more leads, track their listings performance and unlock their reputations on classifieds sites.","""faceified service"" ""service providers"" ""information services"""
"Proacta","Developer of oncology drugs. The company provides cancer-related products which targets the physiological attributes of solid tumors through normal metabolic processes.","""oncology drug"" ""cancer drug"" ""solid tumour drug"""
"Mapletree Networks","Manufacturer of circuit and packet-based voice, data, and fax network access and core network infrastructure. The company offers embedded software and hardware solutions that allow original equipment manufacturers to integrate the universal port technology.","""packet-based voice"" ""equipment manufacturers"" ""software solutions"" ""hardware solutions"""
"Gruvie.com","Provider of social network platform to aggregate their social web content into one location.","""social network"" ""social web"" ""network platform"" ""web content"""
"Premier VCT (Dartford)","Owner and operator of a hotel. The company owns 12 bedrooms hotel in Dartford.","""travel & leisure"" ""12 bedrooms"" ""Holiday Inn"""
"Ad Valem Technologies","Provider of data storage and broadcasting services. The company specializes in the broadcasting and management of audiovisual content via its fiber optics distribution software targeting on TV networks, production companies, internet service providers and rights managers.","""data storage"" ""distribution software"" ""production house"""
"Hojoki","Provider of a cloud based applications to solve the problem of information fragmentation. The company supports individuals in tracking application and connects task management and communication with the productivity application.","""productivity tool"" ""information fragmentation"" ""collaboration service"""
"Plant Genetic Systems","Developer of genetically engineered plants. The company is a biotech company lacated in Ghent, Belgium. The was the first (in 1985) to develop genetically engineered (tobacco) plants with insect tolerance by expressing genes encoding for insecticidal proteins from Bacillus thuringiensis (Bt).","""genetic engineering"" ""plants"" ""insecticidal protein"""
"Spiralcat","Provider of water and biofuel renewable services. The company recovers water and biofuel using harvesting systems that transform waste into valuable energy and water resources.","biofuel ""soil fertility"" ""usable resources"""
"Enginion","Provider of technology in the field of steam-operated, compact cogeneration systems. The company offers SteamCell, a low-emission, combined heat and power generation system using external combustion based on a Caloric Porous Structure Cell (CPS Cell) technology. CPS Cell technology utilizes a thermo-chemical combustion process, which drives an electronically controlled, oil-free steam engine. The company supplies SteamCell core systems to original equipment manufacturers who integrate them into their products.","""cogeneration systems"" combustion ""thermo-chemical"" ""steam engine"""
"Warrior Group","Operator of a permanent modular construction company. The company provides construction services for projects such as military barracks, retail establishments, classrooms and medical buildings.","""modular construction"" ""construction company"" ""medical building"""
"Cemmerce","Operator of an online commerce platform. The company helps publishers and content creators generate new revenue streams from existing and future online content by automatically convert product references into live commerce links. It’s platform also provides access to real time price comparison data, abandonment rates and conversion rates.","""Affiliate Marketing"" ""Automated affiliate marketing"" ""Affiliate link"" ""Content monetization"""
"Core Networks","Provider of a suite of applications for the broadband industry. The company offers provisioning, network assurance and home networking services for the cable industry.","""broadband applications"" ""network assurance"" modem"
"Mpex Pharmaceuticals","Developer of therapies for antibiotic resistance. The company offers MP-376, a proprietary formula of levofloxacin that is developed clinically as a maintenance therapy for the prevention of bacterial exacerbations in patients with cystic fibrosis and chronic obstructive pulmonary diseases. It also provides inhibitors of bacterial multi-drug resistant efflux pumps, which are source of drug resistance in gram-negative pathogens, such as Pseudomonas aeruginosa and gram-positive pathogens, such as methicillin-resistant staphylococcus aureus. It has a strategic alliance with GlaxoSmithKline.","""antibiotic resistance therapy"" ""gram-negative organism"" antibiotic ""aerosol formulation"" ""bacterial exacerbation"""
"Qype","Provider of a consumer review website for goods and services in Europe. The company offers the review service in nine languages and more than 160,000 cities and towns worldwide. The service is available online and through a mobile application.","""consumer review"" ""review website"" ""internet software"""
"CE Interactive","Provider of digital products and services to consumer electronics retailers, manufacturers, service providers, and consumers. The company\'s solutions include Wirewize Web application, a virtual installer and home entertainment management system that helps to set up, operate, manage, maintain, and enhance home entertainment technology.","""digital product"" ""wirewize web"""
"Discern Communications","Developer of automated self-service question answering software for call centers.","""self service question"" ""automated self service"" ""answering software"" ""computer telephony"""
"PeriphaGen (Formerly Diamyd)","Operator of a bio-pharmaceutical company. The company develops gene delivery products to treat and manage pain and peripheral nerve damage. Its pipeline also includes the treatment of chronic pain by NET drugs designed to block multiple pain pathways through the expression of various gene combinations.","""neurological disorder"" ""gene delivery products"" ""nerve damage"" nerve"
"Everloop","Operator of an online social platform for kids. The company enables kids to connect with friends, play games, share pictures, send messages, discover talents and learn.","""online community"" ""online social platform"" ""Social Looping"""
"Veo Television","Provider of television broadcasting services in Spain.","""broadcasting services"" ""television broadcasting"" ""TV broadcasting services"""
"Orbot Instruments","Manufacturer of a semiconductor inspection equipment. The company provides automated optical inspection for semiconductor industry.","""semiconductor inspection equipment"" ""automated optical inspection"" semiconductor"
"Backupify","Provider of online data backup services. The company\'s service enable users to protect their pictures, videos, documents and blog posts.","""online data backup""  ""information management"" ""backup service"""
"Alpharel","Developer of data-management systems.The company develops multi-terabyte engineering-data systems.","""data management"" ""engineering data"" multi-terabyte"
"BeSang","Provider of semiconductor. The company provides fabless semiconductor focusing on developing proprietary 3D integrated circuit technology.","""semiconductor"" ""fabless semiconductor"""
"Tedopres International","Provider of content management services and software for technical documentation. The company by means of systematic text analysis, efficient visualization, technical illustration and applied information management supports clients in managing all aspects of their information process. The company specializes in controlled authoring, technical translations, technical illustrations and software development.","""content management"" ""technical documentation"" ""technical translations"""
"Intermetro Communications","Provider of voice and data communication services.The company operates VoIP switching equipment and network facilities that are utilized to provide its services to major US and international telecommunications carriers, wireless companies, broadband phone companies and, pre-paid calling card providers. It offers its services through a direct sales force, agents, and retail distribution partners, including general merchandise and discount retail chains.","""data communication"" ""wireless telecommunications"" ""Carrier Services"""
"Novus Packaging","Manufacturer of extrusion-coated and laminated packaging materials serving the food, pharmaceutical and industrial markets. The company provides packaging materials including Sugar pouches/sticks/packs, Stand-up pouches, Candy wrappers, Coffee pouches, Bread bag Lidding stock, Deli wrap, Cake plates and Bakery Pouches.","coated "" commercial bags"" ""juice liner"" lamination pouch"
"Telogy Networks","Developer of asymmetric digital subscriber line semiconductors. The company\'s golden gateway software enables its customers to develop connected products that send real-time voice, fax and data over packet networks.","""Asymmetric Digital Subscriber Line"" semiconductors"
"FanLib","Operator of online community for the entertainment fans. The company\'s online storytelling platform enables its members to create stories and scripts based on television shows, books, movies, video games, and other works.","""fan community"" ""entertainment community"" ""storytelling platform"""
"BluMetric Environmental","Designer of onsite wastewater treatment systems for domestic and industrial sites. The company offers products that focus on environmental problems relating to water treatment, re-use, and wastewater technology.","""environmental services"""
"Tapely","Operator of a music sharing platform. The company creates and shares music mixtapes online. It enables users to upload, store, share and listen music tracks.","""music sharing"" mixtapes upload"
"Reasoning","Provider of software inspection services. The company offers discovery mapping analytics and automated software inspection services to help measure the reliability and security of a client\'s software and also helps in reducing code defects and security vulnerabilities.","""security services"" ""software inspection"""
"Celestry","Provider of physical design products. The company offers software and services to electronic and semiconductor companies that are involved with the design of chips.","chips electrinc semiconductor"
"Vumber","Provider of anyphone, anytime, anywhere phone number that keeps users identity private. The company offers a number from any area code users want, to be linked to their home, cell, or work phone.","""phone number"" ""private identity"" ""number connection"""
"Boundless Learning","Provider of e-learning services. The company offers online educational content for students, educators, and self-learners. It focuses on higher education.","""e-learning service"" ""educational content"" ""reinventing textbook"""
"Primary Health","Operator of a healthcare delivery system for health insurance companies, self-insured employer groups, and medical providers and facilities. The company offers health insurance products and services within HMO, POS, and PPO model plans. It offers care management services, as well as operates physician clinics in Idaho and Oregon.","""healthcare delivery"" ""health insurance"" ""insured group"" ""healthcare management"" ""physician clinic"" ""physician network"""
"Coelacanth Chemical","Provider of proprietary chemistry technologies to rapidly discover new chemical entities for drug development and discovery. The company uses its proprietary technology ClickChem to create sets of novel building blocks which are used for the production of innovative compound sets that shorten lead discovery and lead optimization time for drug development.","ClickChem , ""proprietary chemistry technologies"" ""novel building blocks"""
"Epitome Biosystems","Developer of technology to measure protein biomarkers and intracellular infrastruture. The company has developed a system using antibody microarrays to provide   measurement of protein biomarkers and intracellular signalling pathways.","""protein measurement"" ""phosphorylation measurement"" ""biological system"" ""drug discovery"""
"OneSchool","Provider of a mobile platform that acts as an online guide to U.S. college campuses. The company provides a free mobile app for college students, designed to aggregate information about their campus, courses, directories and related news stories. The application also contains tools for social networking.","""digital mapping"" ""mapping technology"" ""mobile apps"""
"SecureInfo","Provider of cyberspace security. The company provides a cloud-based, online-security platform for government, cloud technology companies and critical-infrastructure industries. Its services  includes cloud security, continuous monitoring and maintaining compliance with the Federal Information Security Management Act.","""FISMA preparedness assessment"" ""information assurance"" ""accreditation service"" ""threat management"""
"Communicado","Provider of solutions for managing converged voice/data communication networks that carry real-time person-to-person business communications.The company\'s solutions include VXTracker, which integrates the management of converged voice and data networks to enterprise standards; and Streamline.","""real time communication"" ""converged voice"" ""VXTracker"""
"Netect","Provider of security software. The company provides security assessment and systems management software that identify and close security holes to prevent internal and external network intrusions, including attempts to hack into a network via the Internet.","""security malware"" ""network security"" ""security assessment"" ""system management software"""
"Goshme Solucoes Para a Internet","Developer and provider of search engine. The company assists users by providing a list of all search engines and databases appropriate to the query, ranked by relevance, divided by categories and sub-categories, and with a brief description about each search engine.","""search engine"" databases ""Web Search"""
"Cameraworld.com","Provider of online shopping site for photographic equipment and digital imaging. The company is a retailer of brands such as Canon, Fuji, Kodak, Nikon, Olympus, Panasonic, Pentax and Sony.","""photographic equipment"" ""video product"" ""video accessory"""
